City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.67,85,100,6.84,PN,1712791119
1,port-aux-francais,-49.35,70.2167,7.44,96,100,3.79,TF,1712791120
2,midvagur,62.0511,-7.1939,6.46,87,100,12.35,FO,1712791020
3,smithers,54.7804,-127.1743,8.18,46,100,5.66,CA,1712791590
4,haiku-pauwela,20.9219,-156.3051,29.01,62,20,8.23,US,1712791590
5,huron,41.1501,-82.5499,14.82,85,100,3.84,US,1712791591
6,yellowknife,62.456,-114.3525,1.9,82,20,3.6,CA,1712791121
7,hailar,49.2,119.7,1.54,69,93,2.73,CN,1712791591
8,edinburgh of the seven seas,-37.0676,-12.3116,17.81,81,82,3.04,SH,1712791007
9,visby,57.6409,18.296,6.69,70,63,9.26,SE,1712791592
10,brisas de zicatela,15.8369,-97.0419,29.29,74,0,5.14,MX,1712791592
11,grytviken,-54.2811,-36.5092,0.94,90,14,5.44,GS,1712791004
12,kingston,17.997,-76.7936,29.53,72,20,10.29,JM,1712790993
13,white river,-25.3318,31.0117,17.53,88,75,0.51,ZA,1712791593
14,bredasdorp,-34.5322,20.0403,14.82,66,33,6.37,ZA,1712791012
15,namdrik,5.5994,168.1028,28.14,84,97,8.83,MH,1712791593
16,rumbek,6.802,29.6912,29.4,35,3,1.08,SS,1712791594
17,nanning,22.8167,108.3167,23.25,97,100,3.28,CN,1712791594
18,lata,40.1629,-8.3327,13.84,81,99,1.78,PT,1712791594
19,port elizabeth,-33.918,25.5701,14.62,80,94,1.34,ZA,1712791017
20,igarka,67.4667,86.5833,-29.99,98,27,3.58,RU,1712791210
21,blackmans bay,-43.0167,147.3167,13.18,68,52,0.89,AU,1712791011
22,as sulayyil,20.4607,45.5779,29.14,56,25,2.21,SA,1712791596
23,kavaratti,10.5669,72.642,28.79,69,67,3.49,IN,1712791018
24,kodiak,57.79,-152.4072,1.73,55,75,3.6,US,1712791127
25,papatowai,-46.5619,169.4708,10.96,98,100,5.39,NZ,1712791184
26,karamadai,11.2406,76.9601,27.21,75,58,1.33,IN,1712791597
27,chernyshevskiy,63.0128,112.4714,-15.72,86,85,3.34,RU,1712791128
